"Pathway1","Pathway2","Corr"
"BIOCARTA_EFP_PATHWAY","BIOCARTA_NPC_PATHWAY",0.419631803634885
"BIOCARTA_CREM_PATHWAY","BIOCARTA_SKP2E2F_PATHWAY",0.360219834772764
"BIOCARTA_CREM_PATHWAY","BIOCARTA_REELIN_PATHWAY",0.347462270311465
"BIOCARTA_CREM_PATHWAY","BIOCARTA_MPR_PATHWAY",0.345191488381102
"BIOCARTA_CREM_PATHWAY","BIOCARTA_P27_PATHWAY",0.345118028775788
"BIOCARTA_CREM_PATHWAY","BIOCARTA_FBW7_PATHWAY",0.325131121735405
"BIOCARTA_ERAD_PATHWAY","BIOCARTA_MTOR_PATHWAY",0.380662193852419
"BIOCARTA_ERAD_PATHWAY","BIOCARTA_IGF1R_PATHWAY",0.374523114032054
"BIOCARTA_ERAD_PATHWAY","BIOCARTA_VEGF_PATHWAY",0.370288665950809
"BIOCARTA_ERAD_PATHWAY","BIOCARTA_IGF1MTOR_PATHWAY",0.343824589131567
"BIOCARTA_ERAD_PATHWAY","BIOCARTA_NFAT_PATHWAY",0.34100879149198
"BIOCARTA_BTG2_PATHWAY","BIOCARTA_P53_PATHWAY",0.484280483163372
"BIOCARTA_BTG2_PATHWAY","BIOCARTA_ARF_PATHWAY",0.315862216916582
"BIOCARTA_BTG2_PATHWAY","BIOCARTA_RB_PATHWAY",0.292232625322752
"BIOCARTA_BTG2_PATHWAY","BIOCARTA_G1_PATHWAY",0.285142954100825
"BIOCARTA_BTG2_PATHWAY","BIOCARTA_CELLCYCLE_PATHWAY",0.270483307020414
"BIOCARTA_TERT_PATHWAY","BIOCARTA_TERC_PATHWAY",0.566358908002486
"BIOCARTA_TERT_PATHWAY","BIOCARTA_PRC2_PATHWAY",0.510223772141341
"BIOCARTA_TERT_PATHWAY","BIOCARTA_SET_PATHWAY",0.509607341100109
"BIOCARTA_TERT_PATHWAY","BIOCARTA_VDR_PATHWAY",0.509281435352852
"BIOCARTA_TERT_PATHWAY","BIOCARTA_ARF_PATHWAY",0.49068538928148
"BIOCARTA_GHRELIN_PATHWAY","BIOCARTA_ACE2_PATHWAY",0.555348290106691
"BIOCARTA_GHRELIN_PATHWAY","BIOCARTA_INTRINSIC_PATHWAY",0.506212685051078
"BIOCARTA_GHRELIN_PATHWAY","BIOCARTA_AMI_PATHWAY",0.505892419233559
"BIOCARTA_GHRELIN_PATHWAY","BIOCARTA_EICOSANOID_PATHWAY",0.468970782269086
"BIOCARTA_GHRELIN_PATHWAY","BIOCARTA_EXTRINSIC_PATHWAY",0.468316387370519
"BIOCARTA_VOBESITY_PATHWAY","BIOCARTA_LAIR_PATHWAY",0.517175129400662
"BIOCARTA_VOBESITY_PATHWAY","BIOCARTA_EICOSANOID_PATHWAY",0.514571712651786
"BIOCARTA_VOBESITY_PATHWAY","BIOCARTA_MSP_PATHWAY",0.501577691287251
"BIOCARTA_VOBESITY_PATHWAY","BIOCARTA_ERYTH_PATHWAY",0.477143568381931
"BIOCARTA_VOBESITY_PATHWAY","BIOCARTA_INFLAM_PATHWAY",0.469401082601526
"BIOCARTA_ERBB3_PATHWAY","BIOCARTA_PLATELETAPP_PATHWAY",0.580244360967291
"BIOCARTA_ERBB3_PATHWAY","BIOCARTA_AGR_PATHWAY",0.553990725649359
"BIOCARTA_ERBB3_PATHWAY","BIOCARTA_ACE2_PATHWAY",0.552129344061923
"BIOCARTA_ERBB3_PATHWAY","BIOCARTA_AMI_PATHWAY",0.541754126404954
"BIOCARTA_ERBB3_PATHWAY","BIOCARTA_MCALPAIN_PATHWAY",0.538409375116975
"BIOCARTA_CTBP1_PATHWAY","BIOCARTA_SUMO_PATHWAY",0.785205991176563
"BIOCARTA_CTBP1_PATHWAY","BIOCARTA_RANBP2_PATHWAY",0.514770157725918
"BIOCARTA_CTBP1_PATHWAY","BIOCARTA_SM_PATHWAY",0.510556175532634
"BIOCARTA_CTBP1_PATHWAY","BIOCARTA_CDC25_PATHWAY",0.481629982749592
