Pathway1,Pathway2,Edge_Type
BIOCARTA_CARDIACEGF_PATHWAY,BIOCARTA_EGF_PATHWAY,STRING_900
BIOCARTA_CARDIACEGF_PATHWAY,BIOCARTA_CXCR4_PATHWAY,STRING_900
BIOCARTA_CARDIACEGF_PATHWAY,BIOCARTA_PDGF_PATHWAY,STRING_900
BIOCARTA_CARDIACEGF_PATHWAY,BIOCARTA_BIOPEPTIDES_PATHWAY,STRING_900
BIOCARTA_CARDIACEGF_PATHWAY,BIOCARTA_PLC_PATHWAY,STRING_900
BIOCARTA_CARM_ER_PATHWAY,BIOCARTA_PELP1_PATHWAY,STRING_900
BIOCARTA_CARM_ER_PATHWAY,BIOCARTA_PPARA_PATHWAY,STRING_900
BIOCARTA_CARM_ER_PATHWAY,BIOCARTA_MTA3_PATHWAY,STRING_900
BIOCARTA_CARM_ER_PATHWAY,BIOCARTA_RARRXR_PATHWAY,STRING_900
BIOCARTA_CARM_ER_PATHWAY,BIOCARTA_VDR_PATHWAY,STRING_900
BIOCARTA_CARM1_PATHWAY,BIOCARTA_VIP_PATHWAY,STRING_900
BIOCARTA_CARM1_PATHWAY,BIOCARTA_STATHMIN_PATHWAY,STRING_900
BIOCARTA_CARM1_PATHWAY,BIOCARTA_DREAM_PATHWAY,STRING_900
BIOCARTA_CARM1_PATHWAY,BIOCARTA_CREB_PATHWAY,STRING_900
BIOCARTA_CARM1_PATHWAY,BIOCARTA_MPR_PATHWAY,STRING_900
BIOCARTA_CASPASE_PATHWAY,BIOCARTA_DEATH_PATHWAY,STRING_900
BIOCARTA_CASPASE_PATHWAY,BIOCARTA_HIVNEF_PATHWAY,STRING_900
BIOCARTA_CASPASE_PATHWAY,BIOCARTA_FAS_PATHWAY,STRING_900
BIOCARTA_CASPASE_PATHWAY,BIOCARTA_D4GDI_PATHWAY,STRING_900
BIOCARTA_CASPASE_PATHWAY,BIOCARTA_TNFR1_PATHWAY,STRING_900
BIOCARTA_CB1R_PATHWAY,BIOCARTA_PKC_PATHWAY,STRING_900
BIOCARTA_CB1R_PATHWAY,BIOCARTA_PLC_PATHWAY,STRING_900
BIOCARTA_CB1R_PATHWAY,BIOCARTA_CXCR4_PATHWAY,STRING_900
BIOCARTA_CB1R_PATHWAY,BIOCARTA_PYK2_PATHWAY,STRING_900
BIOCARTA_CB1R_PATHWAY,BIOCARTA_AT1R_PATHWAY,STRING_900
BIOCARTA_CBL_PATHWAY,BIOCARTA_EGF_PATHWAY,STRING_900
BIOCARTA_CBL_PATHWAY,BIOCARTA_PDGF_PATHWAY,STRING_900
BIOCARTA_CBL_PATHWAY,BIOCARTA_MET_PATHWAY,STRING_900
