Cell	Drug
SIDM01553	5284616
SIDM01554	5284616
SIDM01556	5284616
SIDM01559	5284616
SIDM01560	5284616
SIDM01561	5284616
SIDM01563	5284616
SIDM01564	5284616
SIDM01565	5284616
SIDM01566	5284616
SIDM01567	5284616
SIDM01569	5284616
SIDM01570	5284616
SIDM01571	5284616
SIDM01572	5284616
SIDM01573	5284616
SIDM01574	5284616
SIDM01575	5284616
SIDM01577	5284616
SIDM01578	5284616
SIDM01580	5284616
SIDM01581	5284616
SIDM01582	5284616
SIDM01587	5284616
SIDM01588	5284616
SIDM01589	5284616
SIDM01590	5284616
SIDM01591	5284616
SIDM01593	5284616
SIDM01594	5284616
SIDM01596	5284616
SIDM01598	5284616
SIDM01602	5284616
SIDM01603	5284616
SIDM01604	5284616
SIDM01605	5284616
SIDM01606	5284616
SIDM01607	5284616
SIDM01608	5284616
SIDM01609	5284616
SIDM01611	5284616
SIDM01612	5284616
SIDM01613	5284616
SIDM01614	5284616
SIDM01615	5284616
SIDM01616	5284616
SIDM01617	5284616
SIDM01618	5284616
SIDM01619	5284616
SIDM01622	5284616
SIDM01624	5284616
SIDM01628	5284616
SIDM01629	5284616
SIDM01635	5284616
SIDM01640	5284616
SIDM01657	5284616
SIDM01658	5284616
SIDM01659	5284616
SIDM01660	5284616
SIDM01662	5284616
SIDM01664	5284616
SIDM01667	5284616
SIDM01668	5284616
SIDM01672	5284616
SIDM01675	5284616
SIDM01676	5284616
SIDM01679	5284616
SIDM01682	5284616
SIDM01685	5284616
SIDM01686	5284616
SIDM01689	5284616
SIDM01690	5284616
SIDM01691	5284616
SIDM01692	5284616
SIDM01693	5284616
SIDM01694	5284616
SIDM01695	5284616
SIDM01696	5284616
SIDM01697	5284616
SIDM01698	5284616
SIDM01699	5284616
SIDM01701	5284616
SIDM01702	5284616
SIDM01703	5284616
SIDM01704	5284616
SIDM01705	5284616
SIDM01709	5284616
SIDM01710	5284616
SIDM01724	5284616
SIDM01725	5284616
SIDM01726	5284616
SIDM01727	5284616
SIDM01728	5284616
SIDM01729	5284616
SIDM01730	5284616
SIDM01734	5284616
SIDM01739	5284616
SIDM01741	5284616
SIDM01743	5284616
SIDM01746	5284616
SIDM01749	5284616
SIDM01750	5284616
SIDM01752	5284616
SIDM01753	5284616
SIDM01756	5284616
SIDM01757	5284616
SIDM01758	5284616
SIDM01759	5284616
SIDM01760	5284616
SIDM01761	5284616
SIDM01762	5284616
SIDM01763	5284616
SIDM01764	5284616
SIDM01765	5284616
SIDM01766	5284616
SIDM01767	5284616
SIDM01768	5284616
SIDM01770	5284616
SIDM01771	5284616
SIDM01772	5284616
SIDM01773	5284616
SIDM01774	5284616
SIDM01775	5284616
SIDM01777	5284616
SIDM01779	5284616
SIDM01780	5284616
SIDM01781	5284616
SIDM01782	5284616
SIDM01820	5284616
SIDM01858	5284616
SIDM01859	5284616
SIDM01873	5284616
SIDM01942	5284616
SIDM01943	5284616
SIDM01944	5284616
SIDM01946	5284616
SIDM01947	5284616
SIDM01948	5284616
SIDM01949	5284616
SIDM01950	5284616
SIDM01951	5284616
SIDM01952	5284616
SIDM01954	5284616
SIDM01955	5284616
SIDM01956	5284616
SIDM01957	5284616
SIDM01958	5284616
SIDM01959	5284616
SIDM01960	5284616
SIDM01961	5284616
SIDM01962	5284616
SIDM01963	5284616
SIDM01964	5284616
SIDM01965	5284616
SIDM01966	5284616
SIDM02010	5284616
SIDM02011	5284616
SIDM02014	5284616
SIDM02015	5284616
SIDM02016	5284616
SIDM02017	5284616
SIDM02018	5284616
SIDM02019	5284616
SIDM02020	5284616
SIDM02021	5284616
SIDM02022	5284616
SIDM02023	5284616
SIDM02024	5284616
SIDM02025	5284616
SIDM02026	5284616
SIDM02027	5284616
SIDM02028	5284616
SIDM02029	5284616
SIDM02030	5284616
SIDM02031	5284616
SIDM02032	5284616
SIDM02034	5284616
SIDM02035	5284616
SIDM02036	5284616
SIDM02037	5284616
SIDM02038	5284616
SIDM02039	5284616
SIDM02040	5284616
SIDM02041	5284616
SIDM02042	5284616
SIDM02043	5284616
SIDM02044	5284616
SIDM02045	5284616
SIDM02046	5284616
SIDM02047	5284616
SIDM02048	5284616
SIDM02049	5284616
SIDM02050	5284616
SIDM02051	5284616
SIDM02052	5284616
SIDM02053	5284616
SIDM02054	5284616
SIDM02055	5284616
SIDM02056	5284616
SIDM02057	5284616
SIDM02058	5284616
SIDM02059	5284616
SIDM02060	5284616
SIDM02061	5284616
SIDM02062	5284616
SIDM02063	5284616
SIDM02064	5284616
SIDM02065	5284616
SIDM02066	5284616
SIDM02067	5284616
SIDM02068	5284616
SIDM02069	5284616
SIDM02070	5284616
SIDM02071	5284616
SIDM02072	5284616
SIDM02073	5284616
SIDM02074	5284616
SIDM02075	5284616
SIDM02076	5284616
SIDM02077	5284616
SIDM02078	5284616
SIDM02079	5284616
SIDM02080	5284616
SIDM00001	5329102
SIDM00002	5329102
SIDM00005	5329102
SIDM00006	5329102
SIDM00007	5329102
SIDM00008	5329102
SIDM00009	5329102
SIDM00011	5329102
SIDM00014	5329102
SIDM00015	5329102
SIDM00016	5329102
SIDM00017	5329102
SIDM00018	5329102
SIDM00025	5329102
SIDM00026	5329102
SIDM00027	5329102
SIDM00029	5329102
SIDM00032	5329102
SIDM00036	5329102
SIDM00054	5329102
SIDM00057	5329102
SIDM00062	5329102
SIDM00063	5329102
SIDM00065	5329102
SIDM00068	5329102
SIDM00070	5329102
SIDM00071	5329102
SIDM00074	5329102
SIDM00093	5329102
SIDM00131	5329102
SIDM00147	5329102
SIDM00153	5329102
SIDM00158	5329102
SIDM00159	5329102
SIDM00160	5329102
SIDM00161	5329102
SIDM00162	5329102
SIDM00163	5329102
SIDM00164	5329102
SIDM00165	5329102
SIDM00166	5329102
SIDM00167	5329102
SIDM00168	5329102
SIDM00169	5329102
SIDM00170	5329102
SIDM00171	5329102
SIDM00173	5329102
SIDM00192	5329102
SIDM00226	5329102
SIDM00228	5329102
SIDM00248	5329102
SIDM00265	5329102
SIDM00298	5329102
SIDM00307	5329102
SIDM00314	5329102
SIDM00397	5329102
SIDM00414	5329102
SIDM00452	5329102
SIDM00497	5329102
SIDM00500	5329102
SIDM00536	5329102
SIDM00546	5329102
SIDM00593	5329102
SIDM00595	5329102
SIDM00605	5329102
SIDM00610	5329102
SIDM00634	5329102
SIDM00636	5329102
SIDM00639	5329102
SIDM00644	5329102
SIDM00757	5329102
SIDM00775	5329102
SIDM00780	5329102
SIDM00784	5329102
SIDM00800	5329102
SIDM00823	5329102
SIDM00836	5329102
SIDM00840	5329102
SIDM00851	5329102
SIDM00862	5329102
SIDM00894	5329102
SIDM00897	5329102
SIDM00904	5329102
SIDM00914	5329102
SIDM00915	5329102
SIDM00945	5329102
SIDM00960	5329102
SIDM00979	5329102
SIDM00991	5329102
SIDM01022	5329102
SIDM01050	5329102
SIDM01061	5329102
SIDM01063	5329102
SIDM01074	5329102
SIDM01151	5329102
SIDM01158	5329102
SIDM01167	5329102
SIDM01195	5329102
SIDM01215	5329102
SIDM01222	5329102
SIDM01241	5329102
SIDM01254	5329102
SIDM01257	5329102
SIDM01266	5329102
SIDM01267	5329102
SIDM01268	5329102
SIDM01269	5329102
SIDM01270	5329102
SIDM01271	5329102
SIDM01272	5329102
SIDM01273	5329102
SIDM01274	5329102
SIDM01275	5329102
SIDM01276	5329102
SIDM01277	5329102
SIDM01278	5329102
SIDM01279	5329102
SIDM01280	5329102
SIDM01281	5329102
SIDM01282	5329102
SIDM01283	5329102
SIDM01284	5329102
SIDM01285	5329102
SIDM01286	5329102
SIDM01287	5329102
SIDM01288	5329102
SIDM01289	5329102
SIDM01290	5329102
SIDM01291	5329102
SIDM01292	5329102
SIDM01293	5329102
SIDM01294	5329102
SIDM01295	5329102
SIDM01296	5329102
SIDM01297	5329102
SIDM01298	5329102
SIDM01299	5329102
SIDM01301	5329102
SIDM01302	5329102
SIDM01303	5329102
SIDM01304	5329102
SIDM01305	5329102
SIDM01306	5329102
SIDM01307	5329102
SIDM01309	5329102
SIDM01310	5329102
SIDM01311	5329102
SIDM01312	5329102
SIDM01313	5329102
SIDM01314	5329102
SIDM01316	5329102
SIDM01318	5329102
SIDM01320	5329102
SIDM01321	5329102
SIDM01322	5329102
SIDM01323	5329102
SIDM01324	5329102
SIDM01325	5329102
SIDM01331	5329102
SIDM01332	5329102
SIDM01335	5329102
SIDM01336	5329102
SIDM01343	5329102
SIDM01347	5329102
SIDM01363	5329102
SIDM01368	5329102
SIDM01372	5329102
SIDM01377	5329102
SIDM01378	5329102
SIDM01387	5329102
SIDM01391	5329102
SIDM01393	5329102
SIDM01394	5329102
SIDM01397	5329102
SIDM01398	5329102
SIDM01409	5329102
SIDM01411	5329102
SIDM01412	5329102
SIDM01413	5329102
SIDM01432	5329102
SIDM01433	5329102
SIDM01434	5329102
SIDM01435	5329102
SIDM01436	5329102
SIDM01437	5329102
SIDM01439	5329102
SIDM01442	5329102
SIDM01443	5329102
SIDM01444	5329102
SIDM01445	5329102
SIDM01446	5329102
